Time(s),Type,X,Y,Z,Magnitude
0.369,GYRO,-0.092652,-0.035144,-0.012780,0.099914
0.370,ACCL,-9.973621,-0.362110,-0.601918,9.998327
0.370,GYRO,-0.086262,-0.033014,-0.020234,0.094554
0.371,GYRO,-0.082002,-0.028754,-0.023429,0.090000
0.372,GYRO,-0.086262,-0.035144,-0.026624,0.096876
0.374,GYRO,-0.086262,-0.034079,-0.027689,0.096795
0.375,ACCL,-9.961631,-0.268585,-0.733813,9.992232
0.375,GYRO,-0.077742,-0.029819,-0.026624,0.087418
0.376,GYRO,-0.069223,-0.026624,-0.028754,0.079545
0.377,GYRO,-0.066028,-0.029819,-0.021299,0.075515
0.379,GYRO,-0.067093,-0.026624,-0.008520,0.072683
0.380,ACCL,-9.913669,-0.047962,-0.892086,9.953841
0.380,GYRO,-0.062833,-0.023429,-0.011715,0.068074
0.381,GYRO,-0.051118,-0.014909,-0.019169,0.056594
0.382,GYRO,-0.040469,-0.015974,-0.023429,0.049415
0.383,GYRO,-0.038339,-0.012780,-0.022364,0.046188
0.385,ACCL,-9.985612,-0.057554,-0.865707,10.023233
0.385,GYRO,-0.035144,-0.012780,-0.018104,0.041547
0.386,GYRO,-0.022364,-0.011715,-0.023429,0.034443
0.387,GYRO,-0.012780,-0.007455,-0.025559,0.029532
0.388,GYRO,-0.005325,-0.003195,-0.015974,0.017139
0.390,ACCL,-10.064748,0.127098,-0.633094,10.085441
0.390,GYRO,0.002130,-0.004260,-0.006390,0.007969
0.391,GYRO,0.005325,-0.007455,-0.008520,0.012510
0.392,GYRO,0.015974,-0.007455,-0.011715,0.021166
0.393,GYRO,0.027689,-0.003195,-0.005325,0.028377
0.395,ACCL,-10.117506,0.076739,-0.414868,10.126299
0.395,GYRO,0.031949,0.000000,-0.003195,0.032108
0.396,GYRO,0.037274,-0.003195,-0.009585,0.038619
0.397,GYRO,0.044728,-0.001065,-0.014909,0.047160
0.398,GYRO,0.052183,0.002130,-0.014909,0.054313
0.399,ACCL,-10.201439,0.095923,-0.381295,10.209013
0.399,GYRO,0.057508,0.003195,-0.008520,0.058223
0.401,GYRO,0.057508,0.001065,-0.006390,0.057872
0.402,GYRO,0.058573,0.002130,-0.005325,0.058853
0.403,GYRO,0.058573,0.002130,0.004260,0.058766
0.404,ACCL,-10.182254,0.318945,-0.311751,10.192017
0.404,GYRO,0.060703,0.000000,0.007455,0.061159
0.406,GYRO,0.061768,0.003195,0.005325,0.062079
0.407,GYRO,0.060703,0.005325,0.007455,0.061390
0.408,GYRO,0.060703,0.004260,0.007455,0.061307
0.409,ACCL,-10.306954,0.258993,-0.371703,10.316906
0.409,GYRO,0.063898,0.003195,0.006390,0.064296
0.411,GYRO,0.059638,0.003195,0.004260,0.059875
0.412,GYRO,0.061768,0.006390,0.010650,0.063004
0.413,GYRO,0.060703,0.007455,0.013845,0.062706
0.414,ACCL,-10.354916,0.165468,-0.472422,10.367008
0.414,GYRO,0.063898,0.007455,0.019169,0.067126
0.415,GYRO,0.066028,0.007455,0.022364,0.070110
0.417,GYRO,0.064963,0.011715,0.025559,0.070786
0.418,GYRO,0.071353,0.010650,0.030884,0.078476
0.419,ACCL,-10.381295,0.016787,-0.537170,10.395197
0.419,GYRO,0.074547,0.017039,0.026624,0.080972
0.420,GYRO,0.078807,0.018104,0.020234,0.083353
0.422,GYRO,0.077742,0.018104,0.022364,0.082896
0.423,GYRO,0.079872,0.021299,0.021299,0.085363
0.424,ACCL,-10.335731,-0.062350,-0.517986,10.348891
0.424,GYRO,0.078807,0.024494,0.025559,0.086393
0.425,GYRO,0.080937,0.026624,0.028754,0.089925
0.427,GYRO,0.079872,0.024494,0.033014,0.089830
0.428,GYRO,0.073482,0.026624,0.036209,0.086137
0.429,ACCL,-10.211031,-0.021583,-0.589928,10.228081
0.429,GYRO,0.074547,0.030884,0.036209,0.088443
0.430,GYRO,0.072417,0.028754,0.033014,0.084623
0.432,GYRO,0.064963,0.031949,0.036209,0.080944
0.433,GYRO,0.057508,0.033014,0.035144,0.075048
0.434,ACCL,-10.146283,-0.081535,-0.625899,10.165897
0.434,GYRO,0.052183,0.028754,0.034079,0.068638
0.435,GYRO,0.051118,0.033014,0.035144,0.070271
0.436,GYRO,0.047923,0.037274,0.031949,0.068605
0.438,GYRO,0.045793,0.039404,0.036209,0.070433
0.439,ACCL,-10.105516,0.050360,-0.621103,10.124710
0.439,GYRO,0.042599,0.038339,0.041534,0.070778
0.440,GYRO,0.039404,0.041534,0.041534,0.070730
0.441,GYRO,0.038339,0.041534,0.041534,0.070142
0.443,GYRO,0.040469,0.038339,0.042599,0.070158
0.444,ACCL,-10.074341,0.139089,-0.623501,10.094575
0.444,GYRO,0.042599,0.042599,0.046858,0.076322
